=== USDKRW Volatility Analysis ===
Data Source,Yahoo Finance (KRW=X)
Period,2022-01-03 ~ 2026-03-18
Trading Days,1093

Date,Close,Log Return,4M Rolling Return
2022-01-03,1187.78,,
2022-01-04,1194.68,0.005792,
2022-01-05,1196.50,0.001522,
2022-01-06,1199.25,0.002296,
2022-01-07,1205.78,0.005430,
2022-01-10,1196.88,-0.007409,
2022-01-11,1198.09,0.001010,
2022-01-12,1189.43,-0.007254,
2022-01-13,1185.88,-0.002989,
2022-01-14,1186.61,0.000615,
2022-01-17,1188.96,0.001978,
2022-01-18,1190.06,0.000925,
2022-01-19,1192.98,0.002451,
2022-01-20,1188.16,-0.004048,
2022-01-21,1192.43,0.003587,
2022-01-24,1191.50,-0.000780,
2022-01-25,1195.66,0.003485,
2022-01-26,1196.10,0.000368,
2022-01-27,1200.63,0.003780,
2022-01-28,1203.46,0.002354,
2022-01-31,1207.71,0.003525,
2022-02-01,1205.12,-0.002147,
2022-02-02,1202.50,-0.002176,
2022-02-03,1199.96,-0.002115,
2022-02-04,1200.33,0.000308,
2022-02-07,1197.09,-0.002703,
2022-02-08,1196.85,-0.000200,
2022-02-09,1196.36,-0.000409,
2022-02-10,1194.03,-0.001949,
2022-02-11,1199.35,0.004446,
2022-02-14,1199.24,-0.000092,
2022-02-15,1197.36,-0.001569,
2022-02-16,1196.83,-0.000443,
2022-02-17,1196.75,-0.000067,
2022-02-18,1198.66,0.001595,
2022-02-21,1195.07,-0.003000,
2022-02-22,1194.68,-0.000326,
2022-02-23,1192.68,-0.001675,
2022-02-24,1192.40,-0.000235,
2022-02-25,1206.00,0.011341,
2022-02-28,1197.59,-0.006998,
2022-03-01,1200.93,0.002785,
2022-03-02,1205.37,0.003690,
2022-03-03,1203.15,-0.001843,
2022-03-04,1205.99,0.002358,
2022-03-07,1216.71,0.008850,
2022-03-08,1232.30,0.012732,
2022-03-09,1233.11,0.000657,
2022-03-10,1223.23,-0.008045,
2022-03-11,1228.60,0.004380,
2022-03-14,1236.89,0.006725,
2022-03-15,1242.05,0.004163,
2022-03-16,1241.68,-0.000298,
2022-03-17,1223.00,-0.015158,
2022-03-18,1210.33,-0.010414,
2022-03-21,1210.37,0.000033,
2022-03-22,1219.78,0.007744,
2022-03-23,1214.95,-0.003968,
2022-03-24,1218.01,0.002516,
2022-03-25,1217.55,-0.000378,
2022-03-28,1224.38,0.005594,
2022-03-29,1223.66,-0.000588,
2022-03-30,1209.13,-0.011945,
2022-03-31,1210.44,0.001083,
2022-04-01,1214.50,0.003349,
2022-04-04,1218.78,0.003518,
2022-04-05,1213.90,-0.004012,
2022-04-06,1218.75,0.003987,
2022-04-07,1217.60,-0.000944,
2022-04-08,1222.66,0.004147,
2022-04-11,1228.24,0.004553,
2022-04-12,1235.05,0.005529,
2022-04-13,1228.60,-0.005236,
2022-04-14,1223.12,-0.004470,
2022-04-15,1230.10,0.005690,
2022-04-18,1228.09,-0.001635,
2022-04-19,1235.35,0.005894,
2022-04-20,1239.60,0.003434,
2022-04-21,1234.09,-0.004455,
2022-04-22,1242.49,0.006784,
2022-04-25,1243.16,0.000539,
2022-04-26,1249.21,0.004855,
2022-04-27,1260.71,0.009164,
2022-04-28,1266.28,0.004408,
2022-04-29,1272.29,0.004735,0.071150
2022-05-02,1262.53,-0.007701,0.056793
2022-05-03,1266.75,0.003337,0.058713
2022-05-04,1261.06,-0.004502,0.051541
2022-05-05,1251.50,-0.007610,0.037917
2022-05-06,1268.70,0.013650,0.060006
2022-05-09,1270.13,0.001127,0.060129
2022-05-10,1274.86,0.003717,0.071824
2022-05-11,1276.55,0.001325,0.076458
2022-05-12,1278.15,0.001253,0.077144
2022-05-13,1290.75,0.009810,0.085613
2022-05-16,1277.57,-0.010264,0.073534
2022-05-17,1279.85,0.001783,0.072818
2022-05-18,1266.66,-0.010359,0.066069
2022-05-19,1275.58,0.007017,0.069731
2022-05-20,1263.55,-0.009476,0.060470
2022-05-23,1273.21,0.007616,0.064860
2022-05-24,1258.82,-0.011367,0.052437
2022-05-25,1260.99,0.001722,0.050274
2022-05-26,1266.60,0.004439,0.052465
2022-05-27,1258.89,-0.006106,0.042378
2022-05-30,1251.59,-0.005816,0.038560
2022-05-31,1236.17,-0.012397,0.028000
2022-06-01,1241.74,0.004496,0.034818
2022-06-02,1246.95,0.004187,0.038839
2022-06-03,1240.84,-0.004912,0.036547
2022-06-06,1250.53,0.007779,0.044851
2022-06-07,1254.48,0.003154,0.048581
2022-06-08,1254.58,0.000080,0.050711
2022-06-09,1256.74,0.001720,0.047851
2022-06-10,1264.02,0.005776,0.054018
2022-06-13,1278.28,0.011218,0.067582
2022-06-14,1291.80,0.010521,0.079351
2022-06-15,1289.48,-0.001798,0.077485
2022-06-16,1278.16,-0.008817,0.066324
2022-06-17,1288.18,0.007809,0.077912
2022-06-20,1290.50,0.001799,0.080206
2022-06-21,1292.38,0.001456,0.083593
2022-06-22,1291.60,-0.000604,0.083194
2022-06-23,1297.68,0.004696,0.076020
2022-06-24,1299.81,0.001640,0.085355
2022-06-27,1288.29,-0.008902,0.072744
2022-06-28,1286.20,-0.001624,0.067058
2022-06-29,1292.03,0.004523,0.073873
2022-06-30,1301.73,0.007479,0.079387
2022-07-01,1287.71,-0.010829,0.058354
2022-07-04,1297.89,0.007874,0.053226
2022-07-05,1295.68,-0.001704,0.050742
2022-07-06,1308.66,0.009968,0.069840
2022-07-07,1304.85,-0.002916,0.062063
2022-07-08,1297.65,-0.005533,0.049123
2022-07-11,1293.79,-0.002979,0.041657
2022-07-12,1310.86,0.013107,0.055715
2022-07-13,1305.83,-0.003845,0.067727
2022-07-14,1304.85,-0.000751,0.078094
2022-07-15,1316.18,0.008646,0.087420
2022-07-18,1318.12,0.001473,0.080621
2022-07-19,1318.91,0.000599,0.085567
2022-07-20,1305.50,-0.010220,0.071830
2022-07-21,1312.87,0.005629,0.078288
2022-07-22,1306.85,-0.004596,0.067357
2022-07-25,1309.32,0.001888,0.070003
2022-07-26,1310.40,0.000825,0.083754
2022-07-27,1310.90,0.000381,0.082995
2022-07-28,1305.95,-0.003783,0.075298
2022-07-29,1295.15,-0.008304,0.062661
2022-08-01,1302.28,0.005490,0.072807
2022-08-02,1306.75,0.003427,0.072205
2022-08-03,1314.63,0.006012,0.079690
2022-08-04,1307.38,-0.005530,0.069292
2022-08-05,1302.08,-0.004062,0.060119
2022-08-08,1302.74,0.000507,0.054807
2022-08-09,1299.03,-0.002852,0.057325
2022-08-10,1307.56,0.006545,0.069037
2022-08-11,1296.70,-0.008340,0.054142
2022-08-12,1306.83,0.007782,0.064116
2022-08-15,1301.38,-0.004179,0.053450
2022-08-16,1313.18,0.009026,0.059358
2022-08-17,1311.00,-0.001662,0.062321
2022-08-18,1314.83,0.002917,0.058222
2022-08-19,1326.91,0.009146,0.067369
2022-08-22,1334.86,0.005973,0.068563
2022-08-23,1343.36,0.006348,0.065558
2022-08-24,1339.08,-0.003191,0.057491
2022-08-25,1340.00,0.000687,0.053219
2022-08-26,1334.44,-0.004158,0.056957
2022-08-29,1341.18,0.005038,0.058757
2022-08-30,1345.73,0.003387,0.067142
2022-08-31,1350.19,0.003309,0.078857
2022-09-01,1342.26,-0.005891,0.057981
2022-09-02,1355.10,0.009520,0.066899
2022-09-05,1361.51,0.004719,0.067968
2022-09-06,1361.81,0.000220,0.066789
2022-09-07,1378.11,0.011898,0.078207
2022-09-08,1374.31,-0.002761,0.064738
2022-09-09,1383.00,0.006303,0.082524
2022-09-12,1379.06,-0.002853,0.077517
2022-09-13,1375.81,-0.002359,0.086172
2022-09-14,1393.47,0.012754,0.092421
2022-09-15,1391.18,-0.001645,0.101009
2022-09-16,1398.63,0.005341,0.098507
2022-09-19,1385.23,-0.009627,0.100419
2022-09-20,1390.11,0.003517,0.102396
2022-09-21,1392.51,0.001725,0.099408
2022-09-22,1397.56,0.003620,0.110153
2022-09-23,1403.66,0.004355,0.121502
2022-09-26,1421.81,0.012848,0.150174
2022-09-27,1429.77,0.005583,0.151425
2022-09-28,1426.26,-0.002458,0.143799
2022-09-29,1421.95,-0.003027,0.145958
2022-09-30,1430.17,0.005764,0.143651
2022-10-03,1439.23,0.006315,0.147272
2022-10-04,1433.34,-0.004101,0.142486
2022-10-05,1416.53,-0.011797,0.127146
2022-10-06,1416.76,0.000162,0.120837
2022-10-07,1408.45,-0.005883,0.101832
2022-10-10,1415.98,0.005332,0.096129
2022-10-11,1428.35,0.008698,0.107695
2022-10-12,1430.80,0.001714,0.119422
2022-10-13,1423.90,-0.004834,0.105358
2022-10-14,1430.30,0.004485,0.108330
2022-10-17,1440.76,0.007287,0.114811
2022-10-18,1430.15,-0.007391,0.107270
2022-10-19,1425.02,-0.003593,0.098129
2022-10-20,1435.01,0.006986,0.104015
2022-10-21,1430.31,-0.003281,0.110239
2022-10-24,1428.11,-0.001539,0.110333
2022-10-25,1443.96,0.011037,0.117590
2022-10-26,1426.93,-0.011864,0.096180
2022-10-27,1412.69,-0.010030,0.097056
2022-10-28,1420.65,0.005619,0.094584
2022-10-31,1421.65,0.000704,0.097223
2022-11-01,1424.67,0.002122,0.088648
2022-11-02,1416.60,-0.005681,0.085642
2022-11-03,1423.10,0.004578,0.096675
2022-11-04,1423.65,0.000386,0.100372
2022-11-07,1402.11,-0.015246,0.069611
2022-11-08,1392.70,-0.006734,0.066525
2022-11-09,1374.15,-0.013409,0.053110
2022-11-10,1370.55,-0.002623,0.041309
2022-11-11,1349.37,-0.015574,0.023708
2022-11-14,1313.03,-0.027300,-0.004458
2022-11-15,1324.08,0.008380,0.014232
2022-11-16,1316.26,-0.005923,0.002582
2022-11-17,1336.43,0.015208,0.022635
2022-11-18,1342.75,0.004718,0.025532
2022-11-21,1339.03,-0.002774,0.021848
2022-11-22,1359.75,0.015355,0.037264
2022-11-23,1352.69,-0.005206,0.035790
2022-11-24,1336.81,-0.011809,0.032166
2022-11-25,1317.89,-0.014254,0.011987
2022-11-28,1334.56,0.012570,0.021282
2022-11-29,1340.12,0.004157,0.019389
2022-11-30,1325.37,-0.011067,0.013760
2022-12-01,1279.80,-0.034988,-0.017111
2022-12-02,1303.25,0.018157,0.000391
2022-12-05,1299.17,-0.003136,0.000108
2022-12-06,1304.37,0.003995,-0.002440
2022-12-07,1319.71,0.011692,0.017745
2022-12-08,1314.10,-0.004260,0.005563
2022-12-09,1316.63,0.001923,0.011718
2022-12-12,1303.17,-0.010276,-0.007623
2022-12-13,1305.92,0.002108,-0.003875
2022-12-14,1288.98,-0.013057,-0.019660
2022-12-15,1295.68,0.005185,-0.023536
2022-12-16,1317.10,0.016397,-0.013305
2022-12-19,1308.86,-0.006276,-0.025682
2022-12-20,1301.33,-0.005770,-0.028191
2022-12-21,1283.64,-0.013687,-0.042060
2022-12-22,1280.77,-0.002238,-0.040219
2022-12-23,1290.20,0.007336,-0.038011
2022-12-26,1279.24,-0.008531,-0.049408
2022-12-27,1275.13,-0.003218,-0.055592
2022-12-28,1272.28,-0.002238,-0.052136
2022-12-29,1274.32,0.001602,-0.059612
2022-12-30,1260.26,-0.011095,-0.074366
2023-01-02,1260.91,0.000516,-0.074093
2023-01-03,1270.10,0.007262,-0.078375
2023-01-04,1279.08,0.007045,-0.069293
2023-01-05,1271.08,-0.006274,-0.080926
2023-01-06,1274.18,0.002436,-0.076052
2023-01-09,1252.88,-0.016858,-0.089351
2023-01-10,1239.28,-0.010914,-0.110652
2023-01-11,1240.16,0.000710,-0.108555
2023-01-12,1241.60,0.001160,-0.112274
2023-01-13,1239.13,-0.001991,-0.105470
2023-01-16,1236.59,-0.002052,-0.110437
2023-01-17,1240.71,0.003326,-0.109012
2023-01-18,1237.00,-0.002995,-0.114886
2023-01-19,1237.88,0.000711,-0.118106
2023-01-20,1232.18,-0.004615,-0.133372
2023-01-23,1230.03,-0.001746,-0.139701
2023-01-24,1229.28,-0.000610,-0.138109
2023-01-25,1232.66,0.002746,-0.133120
2023-01-26,1232.59,-0.000057,-0.138151
2023-01-27,1231.85,-0.000601,-0.144091
2023-01-30,1228.95,-0.002357,-0.142597
2023-01-31,1231.50,0.002073,-0.130622
2023-02-01,1232.15,0.000528,-0.130304
2023-02-02,1221.95,-0.008313,-0.132415
2023-02-03,1224.90,0.002411,-0.134945
2023-02-06,1246.75,0.017681,-0.127140
2023-02-07,1261.23,0.011547,-0.118514
2023-02-08,1255.35,-0.004673,-0.118372
2023-02-09,1260.47,0.004070,-0.118737
2023-02-10,1264.55,0.003232,-0.122303
2023-02-13,1266.87,0.001833,-0.114170
2023-02-14,1272.94,0.004780,-0.106721
2023-02-15,1272.25,-0.000542,-0.113421
2023-02-16,1283.72,0.008975,-0.102488
2023-02-17,1288.96,0.004074,-0.097436
2023-02-20,1293.92,0.003841,-0.103909
2023-02-21,1296.11,0.001691,-0.091679
2023-02-22,1305.83,0.007471,-0.075643
2023-02-23,1302.83,-0.002300,-0.082934
2023-02-24,1298.08,-0.003653,-0.086920
2023-02-27,1313.70,0.011961,-0.077892
2023-02-28,1318.35,0.003533,-0.069356
2023-03-01,1321.60,0.002462,-0.071323
2023-03-02,1305.73,-0.012081,-0.082829
2023-03-03,1311.06,0.004074,-0.064938
2023-03-06,1294.78,-0.012495,-0.070309
2023-03-07,1299.00,0.003254,-0.054688
2023-03-08,1317.90,0.014445,-0.038415
2023-03-09,1316.45,-0.001101,-0.024397
2023-03-10,1325.55,0.006889,0.009535
2023-03-13,1319.54,-0.004544,-0.003429
2023-03-14,1296.38,-0.017707,-0.015103
2023-03-15,1304.58,0.006305,-0.023832
2023-03-16,1311.74,0.005473,-0.023094
2023-03-17,1301.62,-0.007745,-0.027938
2023-03-20,1307.65,0.004622,-0.038316
2023-03-21,1304.94,-0.002075,-0.035300
2023-03-22,1303.44,-0.001150,-0.024962
2023-03-23,1298.25,-0.003990,-0.014903
2023-03-24,1286.29,-0.009255,-0.036169
2023-03-27,1294.83,0.006617,-0.033796
2023-03-28,1297.80,0.002291,-0.020802
2023-03-29,1296.98,-0.000632,0.013424
2023-03-30,1307.13,0.007795,0.002977
2023-03-31,1296.50,-0.008166,-0.002055
2023-04-03,1305.48,0.006902,0.000851
2023-04-04,1308.05,0.001967,-0.008835
2023-04-05,1312.41,0.003328,-0.001286
2023-04-06,1316.21,0.002891,-0.000319
2023-04-07,1317.94,0.001314,0.011334
2023-04-10,1315.45,-0.001891,0.007297
2023-04-11,1320.88,0.004119,0.024748
2023-04-12,1322.09,0.000916,0.020383
2023-04-13,1322.83,0.000560,0.004350
2023-04-14,1301.43,-0.016310,-0.005677
2023-04-17,1303.38,0.001497,0.001575
2023-04-18,1316.07,0.009689,0.025264
2023-04-19,1315.90,-0.000129,0.027429
2023-04-20,1326.76,0.008219,0.028337
2023-04-21,1323.60,-0.002385,0.034677
2023-04-24,1329.38,0.004357,0.042545
2023-04-25,1332.80,0.002569,0.047568
2023-04-26,1341.00,0.006134,0.052326
2023-04-27,1337.83,-0.002367,0.061551
2023-04-28,1339.39,0.001165,0.062241
2023-05-01,1337.17,-0.001659,0.052807
2023-05-02,1342.79,0.004194,0.049809
